Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Sandridge Bridge,28,8,3,7,10,41,101,168,243,178,164,192,198,234,246,272,318,389,314,205,161,162,129,98
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),23,10,3,9,4,25,70,129,260,334,401,525,682,709,603,532,499,428,276,208,145,104,118,72
Collins Place (South),17,7,8,7,8,43,95,161,343,266,238,269,400,387,266,232,203,263,176,126,119,81,83,51
Collins Place (North),5,3,2,3,2,11,41,111,264,198,169,156,189,163,174,175,184,223,119,64,44,27,30,21
Chinatown-Swanston St (North),63,22,14,6,7,5,17,26,45,58,103,182,336,363,367,331,393,558,748,761,709,573,459,278
Chinatown-Lt Bourke St (South),54,26,34,36,4,5,12,21,28,39,66,114,195,169,181,152,157,219,322,366,341,249,249,149
Bourke St-Russell St (West),77,45,26,11,15,21,41,51,99,122,194,266,467,514,388,391,372,510,541,494,435,405,355,249
Flinders St-Elizabeth St (East),131,57,60,50,59,127,344,522,842,778,828,950,1187,1310,1281,1404,1523,1672,1422,1139,1004,836,695,464
Spencer St-Collins St (South),16,4,5,9,3,21,72,127,276,179,152,165,269,245,195,194,251,285,223,169,120,105,108,53
Spencer St-Collins St (North),56,35,24,24,15,111,293,424,722,535,419,438,553,534,544,622,765,955,700,478,325,311,366,196
Melbourne Convention Exhibition Centre,44,15,16,12,17,98,214,368,432,440,492,558,680,792,821,854,850,883,695,445,309,333,257,173
QV Market-Elizabeth St (West),61,49,35,29,28,60,120,151,224,282,397,509,720,654,512,402,279,300,308,266,237,194,148,104
QV Market-Peel St,9,3,5,2,2,4,20,50,76,101,128,139,171,197,173,124,95,116,88,78,58,53,45,27
The Arts Centre,51,21,15,31,48,75,202,409,729,518,596,809,902,1016,904,970,942,1020,860,604,461,382,264,153
St Kilda Rd-Alexandra Gardens,6,3,3,2,3,9,38,64,104,102,112,165,200,212,207,216,188,210,194,143,99,92,71,51
Lonsdale St (South),95,47,26,12,21,19,28,49,68,82,131,193,277,298,265,270,277,341,457,431,475,481,349,231
