bay_id,st_marker_id,status,location,lat,lon
4245,C6822,Unoccupied,"(-37.80950645408079, 144.9556160095626)",-37.80950645408079,144.9556160095626
5266,4531W,Present,"(-37.81074527389115, 144.95299777390767)",-37.81074527389115,144.95299777390767
4288,C6912,Unoccupied,"(-37.80918214379872, 144.95582412203683)",-37.80918214379872,144.95582412203683
3880,C5656,Unoccupied,"(-37.806617521044075, 144.95501761198784)",-37.806617521044075,144.95501761198784
3477,6542N,Present,"(-37.80783883260787, 144.961207007023)",-37.80783883260787,144.961207007023
4020,C6078,Present,"(-37.80511953669214, 144.95226842413223)",-37.80511953669214,144.95226842413223
4371,C7176,Unoccupied,"(-37.80742646322691, 144.95319331349833)",-37.80742646322691,144.95319331349833
2656,10160E,Unoccupied,"(-37.80464318737358, 144.9494385370504)",-37.80464318737358,144.9494385370504
4064,C6166,Unoccupied,"(-37.80386278713415, 144.95249157253178)",-37.80386278713415,144.95249157253178
2678,10187W,Unoccupied,"(-37.803879688971975, 144.94938219754158)",-37.803879688971975,144.94938219754158
3619,7567S,Present,"(-37.805918333860525, 144.9554908226089)",-37.805918333860525,144.9554908226089
4376,C7186,Unoccupied,"(-37.80750619198183, 144.95302924456635)",-37.80750619198183,144.95302924456635
5875,C9202,Present,"(-37.79848480646727, 144.96551685131993)",-37.79848480646727,144.96551685131993
5271,4503W,Unoccupied,"(-37.81181254780275, 144.95349529738968)",-37.81181254780275,144.95349529738968
4307,C6950,Unoccupied,"(-37.809270411989615, 144.95601108049476)",-37.809270411989615,144.95601108049476
3376,6195W,Unoccupied,"(-37.806544410687636, 144.9510926353886)",-37.806544410687636,144.9510926353886
5232,11518N,Present,"(-37.81181041473464, 144.95177886825996)",-37.81181041473464,144.95177886825996
3382,6207W,Unoccupied,"(-37.80630677783586, 144.950984602318)",-37.80630677783586,144.950984602318
8335,C7736C,Unoccupied,"(-37.80314956292773, 144.9505000421462)",-37.80314956292773,144.9505000421462
5259,4517W,Unoccupied,"(-37.81114875079743, 144.95318599123723)",-37.81114875079743,144.95318599123723
3661,7620N,Unoccupied,"(-37.80498763656492, 144.94875372356168)",-37.80498763656492,144.94875372356168
4405,C7244,Unoccupied,"(-37.807950605621684, 144.95211398570711)",-37.807950605621684,144.95211398570711
5874,C9198,Unoccupied,"(-37.79848168467851, 144.96548768683328)",-37.79848168467851,144.96548768683328
4397,C7228,Unoccupied,"(-37.80783289251717, 144.95235641598873)",-37.80783289251717,144.95235641598873
4049,C6136,Unoccupied,"(-37.804317160431054, 144.95241101290793)",-37.804317160431054,144.95241101290793
3387,6217W,Unoccupied,"(-37.80617781003179, 144.95092591905063)",-37.80617781003179,144.95092591905063
4026,C6090,Present,"(-37.804980018917526, 144.95229342836282)",-37.804980018917526,144.95229342836282
3802,C5430,Present,"(-37.808116589398395, 144.9547471729851)",-37.808116589398395,144.9547471729851
3394,6231W,Unoccupied,"(-37.805983889506166, 144.95083741087637)",-37.805983889506166,144.95083741087637
2648,10122E,Unoccupied,"(-37.803191517115465, 144.94820900121596)",-37.803191517115465,144.94820900121596
3541,7060N,Unoccupied,"(-37.808558249149854, 144.95449049698723)",-37.808558249149854,144.95449049698723
4446,C7738,Unoccupied,"(-37.80314276449994, 144.95043863536836)",-37.80314276449994,144.95043863536836
3261,5814E,Unoccupied,"(-37.80696743898906, 144.95348567820156)",-37.80696743898906,144.95348567820156
3624,7573S,Unoccupied,"(-37.80584440198315, 144.9548204611726)",-37.80584440198315,144.9548204611726
2639,10111W,Unoccupied,"(-37.80357734637805, 144.9479108219798)",-37.80357734637805,144.9479108219798
4289,C6914,Unoccupied,"(-37.80918752192871, 144.95588594908736)",-37.80918752192871,144.95588594908736
4069,C6176,Unoccupied,"(-37.80373641156282, 144.95251392706675)",-37.80373641156282,144.95251392706675
954,C822,Present,"(-37.811257509886595, 144.96738963162676)",-37.811257509886595,144.96738963162676
5023,9457S,Present,"(-37.830296550637506, 144.96579219736887)",-37.830296550637506,144.96579219736887
3567,7095S,Unoccupied,"(-37.80904047159493, 144.95334011301645)",-37.80904047159493,144.95334011301645
3400,6241W,Unoccupied,"(-37.80585287262254, 144.95077786807047)",-37.80585287262254,144.95077786807047
4308,C6952,Unoccupied,"(-37.8092757883083, 144.95607346019614)",-37.8092757883083,144.95607346019614
865,690E,Present,"(-37.81408797622072, 144.96881364966487)",-37.81408797622072,144.96881364966487
4327,C6992,Unoccupied,"(-37.80925569590514, 144.9562800890904)",-37.80925569590514,144.9562800890904
3550,7073S,Unoccupied,"(-37.80882498247023, 144.95408965711715)",-37.80882498247023,144.95408965711715
3390,6223W,Present,"(-37.806091285795176, 144.95088646363757)",-37.806091285795176,144.95088646363757
3640,7595S,Unoccupied,"(-37.805352315471154, 144.95041134473956)",-37.805352315471154,144.95041134473956
4244,C6820,Unoccupied,"(-37.80953289851465, 144.95561158975204)",-37.80953289851465,144.95561158975204
3955,C5878,Unoccupied,"(-37.805073030677484, 144.95378898323872)",-37.805073030677484,144.95378898323872
4318,C6974,Unoccupied,"(-37.80935195116392, 144.95619976326594)",-37.80935195116392,144.95619976326594
3726,7741S,Unoccupied,"(-37.80323523134001, 144.9504105756235)",-37.80323523134001,144.9504105756235
4265,C6862,Unoccupied,"(-37.80945561676933, 144.95583569188864)",-37.80945561676933,144.95583569188864
3195,5435W,Unoccupied,"(-37.80812111907606, 144.95462556128655)",-37.80812111907606,144.95462556128655
5235,11524N,Present,"(-37.81191442680799, 144.95141216468477)",-37.81191442680799,144.95141216468477
4086,C6286,Unoccupied,"(-37.80497529927409, 144.95078932967044)",-37.80497529927409,144.95078932967044
4292,C6920,Unoccupied,"(-37.809436831154784, 144.95604387808373)",-37.809436831154784,144.95604387808373
2654,10157W,Unoccupied,"(-37.80470817873153, 144.94923768619498)",-37.80470817873153,144.94923768619498
3926,C5768,Unoccupied,"(-37.80444470791144, 144.95540268447868)",-37.80444470791144,144.95540268447868
3374,6191W,Present,"(-37.80658679914876, 144.9511118550584)",-37.80658679914876,144.9511118550584
3863,C5622,Unoccupied,"(-37.80711601952778, 144.9549286868729)",-37.80711601952778,144.9549286868729
3997,C5962,Unoccupied,"(-37.80382766599281, 144.95401122200406)",-37.80382766599281,144.95401122200406
3676,7636N,Present,"(-37.804961001825404, 144.94851534910413)",-37.804961001825404,144.94851534910413
1545,1918N,Unoccupied,"(-37.81456889297397, 144.9694242770763)",-37.81456889297397,144.9694242770763
3923,C5762,Unoccupied,"(-37.804624341020585, 144.9553703687372)",-37.804624341020585,144.9553703687372
4262,C6856,Unoccupied,"(-37.80947043997966, 144.95577017845275)",-37.80947043997966,144.95577017845275
3899,C5710,Present,"(-37.805448250518246, 144.95522226760184)",-37.805448250518246,144.95522226760184
4449,C7744,Unoccupied,"(-37.803126015104915, 144.95028936539006)",-37.803126015104915,144.95028936539006
5860,C9142,Unoccupied,"(-37.798424358368734, 144.9649562824252)",-37.798424358368734,144.9649562824252
3515,6672N,Unoccupied,"(-37.80865880458556, 144.95837673606894)",-37.80865880458556,144.95837673606894
4431,C7702,Unoccupied,"(-37.80362895153358, 144.95478126097842)",-37.80362895153358,144.95478126097842
3000,5050E,Unoccupied,"(-37.80528745757218, 144.9581284479058)",-37.80528745757218,144.9581284479058
4197,C6670,Unoccupied,"(-37.80871070565439, 144.9585441698922)",-37.80871070565439,144.9585441698922
2247,3936N,Unoccupied,"(-37.81224916081595, 144.95443640358283)",-37.81224916081595,144.95443640358283
3381,6205W,Unoccupied,"(-37.80632796748596, 144.95099429902604)",-37.80632796748596,144.95099429902604
3859,C5614,Unoccupied,"(-37.8072410232429, 144.9549061747726)",-37.8072410232429,144.9549061747726
3876,C5648,Present,"(-37.80674267759487, 144.95499524308445)",-37.80674267759487,144.95499524308445
1276,4468E,Unoccupied,"(-37.81355506304922, 144.95455077200643)",-37.81355506304922,144.95455077200643
4059,C6156,Unoccupied,"(-37.803989693655744, 144.9524689418696)",-37.803989693655744,144.9524689418696
3875,C5646,Unoccupied,"(-37.80676840605765, 144.95499064476647)",-37.80676840605765,144.95499064476647
3881,C5658,Unoccupied,"(-37.806592399424886, 144.9550221026891)",-37.806592399424886,144.9550221026891
3721,7724N,Present,"(-37.80324791826156, 144.95220979108632)",-37.80324791826156,144.95220979108632
3618,7566N,Present,"(-37.80566694062923, 144.95489328638936)",-37.80566694062923,144.95489328638936
3849,C5588,Unoccupied,"(-37.80627608274409, 144.95390490606593)",-37.80627608274409,144.95390490606593
3017,5096E,Unoccupied,"(-37.80443374608326, 144.9577373342755)",-37.80443374608326,144.9577373342755
5250,11525S,Present,"(-37.81186210040582, 144.9520132830241)",-37.81186210040582,144.9520132830241
3821,C5498,Unoccupied,"(-37.807211723869486, 144.9543295690596)",-37.807211723869486,144.9543295690596
4348,C7112,Unoccupied,"(-37.8079897149833, 144.95423345692586)",-37.8079897149833,144.95423345692586
3865,C5626,Present,"(-37.80706400128357, 144.95493798489738)",-37.80706400128357,144.95493798489738
